clubName,leagueName,countryName,clubLogo,countryFlag
AC Mineros de Guayana,Venezuelan Primera División,Venezuela,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/AC+Mineros+de+Guayana.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Venezuela.png
Arka Gdynia,Polish T-Mobile Ekstraklasa,Poland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Arka+Gdynia.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Poland.png
Red Star FC,French Ligue 2,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Red+Star+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Al Faisaly,Saudi Abdul L. Jameel League,Saudi Arabia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Al+Faisaly.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Saudi+Arabia.png
Chapecoense,Campeonato Brasileiro Série A,Brazil,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Chapecoense.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Brazil.png
Shonan Bellmare,Japanese J. League Division 1,Japan,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Shonan+Bellmare.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Japan.png
FC Hermannstadt,Romanian Liga I,Romania,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Hermannstadt.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Romania.png
Club Plaza Colonia,Uruguayan Primera División,Uruguay,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Club+Plaza+Colonia.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Uruguay.png
Yeovil Town,English League Two,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Yeovil+Town.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
VfR Aalen,German 3. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/VfR+Aalen.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Bray Wanderers,Rep. Ireland Airtricity League,Republic of Ireland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Bray+Wanderers.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Republic+of+Ireland.png
