clubName,leagueName,countryName,clubLogo,countryFlag
Chelsea,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Chelsea.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Arsenal,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Arsenal.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Manchester United,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Manchester+United.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Villarreal CF,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Villarreal+CF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Roma,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Roma.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Manchester City,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Manchester+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
FC Barcelona,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Barcelona.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Real Madrid,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Real+Madrid.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Olympique de Marseille,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Olympique+de+Marseille.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Liverpool,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Liverpool.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Borussia Dortmund,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Borussia+Dortmund.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Inter,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Inter.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Milan,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Milan.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Tottenham Hotspur,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Tottenham+Hotspur.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
FC Bayern München,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Bayern+München.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Paris Saint-Germain,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Paris+Saint-Germain.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Ajax,Holland Eredivisie,Netherlands,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Ajax.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Netherlands.png
Sporting CP,Portuguese Liga ZON SAGRES,Portugal,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Sporting+CP.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Portugal.png
Leicester City,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Leicester+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Juventus,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Juventus.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Bayern München II,German 3. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Bayern+München+II.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Tigres U.A.N.L.,Mexican Liga MX,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Tigres+U.A.N.L..png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
Brighton & Hove Albion,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Brighton+&+Hove+Albion.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Leeds United,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Leeds+United.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
LOSC Lille,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/LOSC+Lille.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Atlético Madrid,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Atlético+Madrid.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
RB Leipzig,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/RB+Leipzig.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Aston Villa,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Aston+Villa.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
VfB Stuttgart,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/VfB+Stuttgart.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
West Ham United,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/West+Ham+United.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Valencia CF,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Valencia+CF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
AS Monaco,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/AS+Monaco.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Olympique Lyonnais,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Olympique+Lyonnais.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Everton,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Everton.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
SL Benfica,Portuguese Liga ZON SAGRES,Portugal,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/SL+Benfica.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Portugal.png
Hertha BSC,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Hertha+BSC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
FC Schalke 04,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Schalke+04.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Wolverhampton Wanderers,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Wolverhampton+Wanderers.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Sevilla FC,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Sevilla+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Newcastle United,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Newcastle+United.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
River Plate,Argentina Primera División,Argentina,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/River+Plate.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Argentina.png
FC Porto,Portuguese Liga ZON SAGRES,Portugal,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Porto.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Portugal.png
Watford,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Watford.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Bayer 04 Leverkusen,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Bayer+04+Leverkusen.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Norwich City,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Norwich+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Borussia Mönchengladbach,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Borussia+Mönchengladbach.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Eintracht Frankfurt,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Eintracht+Frankfurt.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
FC Ural Yekaterinburg,Russian Premier League,Russia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Ural+Yekaterinburg.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Russia.png
Napoli,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Napoli.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
PSV,Holland Eredivisie,Netherlands,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/PSV.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Netherlands.png
Sunderland,English League One,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Sunderland.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Real Betis,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Real+Betis.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Sheffield United,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Sheffield+United.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Real Sociedad,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Real+Sociedad.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Fulham,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Fulham.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Atalanta,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Atalanta.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Boca Juniors,Argentina Primera División,Argentina,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Boca+Juniors.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Argentina.png
Brentford,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Brentford.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Fiorentina,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Fiorentina.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Southampton,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Southampton.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Hamburger SV,German 2. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Hamburger+SV.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Bournemouth,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Bournemouth.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Athletic Club de Bilbao,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Athletic+Club+de+Bilbao.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Stade Rennais FC,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Stade+Rennais+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
VfL Wolfsburg,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/VfL+Wolfsburg.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Lazio,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Lazio.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
England,,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/England.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
FC Red Bull Salzburg,Austrian Football Bundesliga,Austria,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Red+Bull+Salzburg.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Austria.png
Blackburn Rovers,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Blackburn+Rovers.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Crystal Palace,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Crystal+Palace.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Ipswich Town,English League One,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Ipswich+Town.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Club América,Mexican Liga MX,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Club+América.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
Sassuolo,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Sassuolo.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Hull City,English League One,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Hull+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Racing Club de Lens,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Racing+Club+de+Lens.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Fenerbahçe SK,Turkish Süper Lig,Turkey,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Fenerbahçe+SK.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Turkey.png
West Bromwich Albion,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/West+Bromwich+Albion.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Rangers FC,Scottish Premiership,Scotland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Rangers+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Scotland.png
Swansea City,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Swansea+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Málaga CF,Spanish Segunda División,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Málaga+CF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Nottingham Forest,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Nottingham+Forest.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Derby County,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Derby+County.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
SV Werder Bremen,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/SV+Werder+Bremen.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
TSG 1899 Hoffenheim,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/TSG+1899+Hoffenheim.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Galatasaray SK,Turkish Süper Lig,Turkey,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Galatasaray+SK.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Turkey.png
Bolton Wanderers,English League Two,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Bolton+Wanderers.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Portsmouth,English League One,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Portsmouth.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Udinese,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Udinese.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
RC Celta,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/RC+Celta.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
OGC Nice,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/OGC+Nice.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Beşiktaş JK,Turkish Süper Lig,Turkey,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Beşiktaş+JK.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Turkey.png
France,,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/France.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Stoke City,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Stoke+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Granada CF,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Granada+CF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
AS Saint-Étienne,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/AS+Saint-Étienne.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Germany,,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Germany.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Feyenoord,Holland Eredivisie,Netherlands,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Feyenoord.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Netherlands.png
Reading,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Reading.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Burnley,English Premier League,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Burnley.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Getafe CF,Spain Primera Division,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Getafe+CF.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Celtic,Scottish Premiership,Scotland,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Celtic.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Scotland.png
Monterrey,Mexican Liga MX,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Monterrey.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
Wigan Athletic,English League One,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Wigan+Athletic.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
AZ Alkmaar,Holland Eredivisie,Netherlands,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/AZ+Alkmaar.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Netherlands.png
Queens Park Rangers,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Queens+Park+Rangers.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Cruz Azul,Mexican Liga MX,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Cruz+Azul.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
1. FC Köln,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/1.+FC+Köln.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
TSV 1860 München,German 3. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/TSV+1860+München.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Middlesbrough,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Middlesbrough.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Parma,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Parma.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Bologna,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Bologna.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
1. FC Union Berlin,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/1.+FC+Union+Berlin.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Mexico,,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Mexico.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
Portugal,,Portugal,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Portugal.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Portugal.png
RCD Espanyol,Spanish Segunda División,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/RCD+Espanyol.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Spain,,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Spain.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
1. FSV Mainz 05,German 1. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/1.+FSV+Mainz+05.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
AC Monza,Italian Serie B,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/AC+Monza.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
FC Girondins de Bordeaux,French Ligue 1,France,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Girondins+de+Bordeaux.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/France.png
Dinamo Zagreb,Croatian Prva HNL,Croatia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Dinamo+Zagreb.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Croatia.png
PFC CSKA Moscow,Russian Premier League,Russia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/PFC+CSKA+Moscow.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Russia.png
Vélez Sarsfield,Argentina Primera División,Argentina,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Vélez+Sarsfield.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Argentina.png
RSC Anderlecht,Belgian Jupiler Pro League,Belgium,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/RSC+Anderlecht.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Belgium.png
Salford City,English League Two,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Salford+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Torino,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Torino.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Club Brugge KV,Belgian Jupiler Pro League,Belgium,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Club+Brugge+KV.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Belgium.png
Cardiff City,English League Championship,England,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Cardiff+City.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/England.png
Hannover 96,German 2. Bundesliga,Germany,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Hannover+96.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Germany.png
Guadalajara,Mexican Liga MX,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Guadalajara.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
Italy,,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Italy.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Inter Miami,USA Major League Soccer,United States,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Inter+Miami.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/United+States.png
Genoa,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Genoa.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Cagliari,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Cagliari.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Hellas Verona,Italian Serie A,Italy,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Hellas+Verona.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Italy.png
Argentina,,Argentina,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Argentina.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Argentina.png
